year,filing_status,lower,upper,rate
2039,single,262000,393050,0.35
2039,single,393050,4000000,0.37
2040,married_filing_jointly,0,0,0.0
2040,married_filing_jointly,0,25350,0.1
2040,married_filing_jointly,24800,103000,0.12
2040,married_filing_jointly,100800,216200,0.22
2040,married_filing_jointly,211400,412700,0.24
2040,married_filing_jointly,403550,524000,0.32
2040,married_filing_jointly,512450,786100,0.35
2040,married_filing_jointly,768700,4000000,0.37
2040,single,0,0,0.0
2040,single,0,12400,0.1
2040,single,12400,50400,0.12
2040,single,50400,105700,0.22
2040,single,105700,201775,0.24
2040,single,201775,256225,0.32
2040,single,256225,640350,0.35
2040,single,640350,4000000,0.37
2041,married_filing_jointly,0,0,0.0
2041,married_filing_jointly,0,25350,0.1
2041,married_filing_jointly,24800,103000,0.12
2041,married_filing_jointly,100800,216200,0.22
2041,married_filing_jointly,211400,412700,0.24
2041,married_filing_jointly,403550,524000,0.32
2041,married_filing_jointly,512450,786100,0.35
2041,married_filing_jointly,768700,4000000,0.37
2041,single,0,0,0.0
2041,single,0,12400,0.1
2041,single,12400,50400,0.12
2041,single,50400,105700,0.22
2041,single,105700,201775,0.24
2041,single,201775,256225,0.32
2041,single,256225,640350,0.35
2041,single,640350,4000000,0.37
2042,married_filing_jointly,0,0,0.0
2042,married_filing_jointly,0,25350,0.1
2042,married_filing_jointly,25350,103000,0.12
2042,married_filing_jointly,103000,216200,0.22
2042,married_filing_jointly,216200,412700,0.24
2042,married_filing_jointly,412700,524000,0.32
2042,married_filing_jointly,524000,786100,0.35
2042,married_filing_jointly,786100,4000000,0.37
2042,single,0,0,0.0
2042,single,0,12675,0.1
2042,single,12675,51500,0.12
2042,single,51500,108100,0.22
2042,single,108100,206350,0.24
2042,single,206350,262000,0.32
2042,single,262000,393050,0.35
2042,single,393050,4000000,0.37
2043,married_filing_jointly,0,0,0.0
2043,married_filing_jointly,0,25350,0.1
2043,married_filing_jointly,24800,103000,0.12
2043,married_filing_jointly,100800,216200,0.22
2043,married_filing_jointly,211400,412700,0.24
2043,married_filing_jointly,403550,524000,0.32
2043,married_filing_jointly,512450,786100,0.35
2043,married_filing_jointly,768700,4000000,0.37
2043,single,0,0,0.0
2043,single,0,12400,0.1
2043,single,12400,50400,0.12
2043,single,50400,105700,0.22
2043,single,105700,201775,0.24
2043,single,201775,256225,0.32
2043,single,256225,640350,0.35
2043,single,640350,4000000,0.37
2044,married_filing_jointly,0,0,0.0
2044,married_filing_jointly,0,25350,0.1
2044,married_filing_jointly,25350,103000,0.12
2044,married_filing_jointly,103000,216200,0.22
2044,married_filing_jointly,216200,412700,0.24
2044,married_filing_jointly,412700,524000,0.32
2044,married_filing_jointly,524000,786100,0.35
2044,married_filing_jointly,786100,4000000,0.37
2044,single,0,0,0.0
2044,single,0,12675,0.1
2044,single,12675,51500,0.12
2044,single,51500,108100,0.22
2044,single,108100,206350,0.24
2044,single,206350,262000,0.32
2044,single,262000,393050,0.35
2044,single,393050,4000000,0.37
2045,married_filing_jointly,0,0,0.0
2045,married_filing_jointly,0,25350,0.1
2045,married_filing_jointly,24800,103000,0.12
2045,married_filing_jointly,100800,216200,0.22
2045,married_filing_jointly,211400,412700,0.24
2045,married_filing_jointly,403550,524000,0.32
2045,married_filing_jointly,512450,786100,0.35
2045,married_filing_jointly,768700,4000000,0.37
2045,single,0,0,0.0
2045,single,0,12400,0.1
2045,single,12400,50400,0.12
2045,single,50400,105700,0.22
2045,single,105700,201775,0.24
2045,single,201775,256225,0.32
2045,single,256225,640350,0.35
2045,single,640350,4000000,0.37
2046,married_filing_jointly,0,0,0.0
2046,married_filing_jointly,0,25350,0.1
2046,married_filing_jointly,25350,103000,0.12
2046,married_filing_jointly,103000,216200,0.22
2046,married_filing_jointly,216200,412700,0.24
2046,married_filing_jointly,412700,524000,0.32
2046,married_filing_jointly,524000,786100,0.35
2046,married_filing_jointly,786100,4000000,0.37
2046,single,0,0,0.0
2046,single,0,12675,0.1
2046,single,12675,51500,0.12
2046,single,51500,108100,0.22
2046,single,108100,206350,0.24
2046,single,206350,262000,0.32
2046,single,262000,393050,0.35
2046,single,393050,4000000,0.37
2047,married_filing_jointly,0,0,0.0
2047,married_filing_jointly,0,25350,0.1
2047,married_filing_jointly,24800,103000,0.12
2047,married_filing_jointly,100800,216200,0.22
2047,married_filing_jointly,211400,412700,0.24
2047,married_filing_jointly,403550,524000,0.32
2047,married_filing_jointly,512450,786100,0.35
2047,married_filing_jointly,768700,4000000,0.37
2047,single,0,0,0.0
2047,single,0,12400,0.1
2047,single,12400,50400,0.12
2047,single,50400,105700,0.22
2047,single,105700,201775,0.24
2047,single,201775,256225,0.32
2047,single,256225,640350,0.35
2047,single,640350,4000000,0.37
2048,married_filing_jointly,0,0,0.0
2048,married_filing_jointly,0,25350,0.1
2048,married_filing_jointly,24800,103000,0.12
2048,married_filing_jointly,100800,216200,0.22
2048,married_filing_jointly,211400,412700,0.24
2048,married_filing_jointly,403550,524000,0.32
2048,married_filing_jointly,512450,786100,0.35
2048,married_filing_jointly,768700,4000000,0.37
2048,single,0,0,0.0
2048,single,0,12400,0.1
2048,single,12400,50400,0.12
2048,single,50400,105700,0.22
2048,single,105700,201775,0.24
2048,single,201775,256225,0.32
2048,single,256225,640350,0.35
2048,single,640350,4000000,0.37
2049,married_filing_jointly,0,0,0.0
2049,married_filing_jointly,0,25350,0.1
2049,married_filing_jointly,25350,103000,0.12
2049,married_filing_jointly,103000,216200,0.22
2049,married_filing_jointly,216200,412700,0.24
2049,married_filing_jointly,412700,524000,0.32
2049,married_filing_jointly,524000,786100,0.35
2049,married_filing_jointly,786100,4000000,0.37
2049,single,0,0,0.0
2049,single,0,12675,0.1
2049,single,12675,51500,0.12
2049,single,51500,108100,0.22
2049,single,108100,206350,0.24
2049,single,206350,262000,0.32
2049,single,262000,393050,0.35
2049,single,393050,4000000,0.37
2050,married_filing_jointly,0,0,0.0
2050,married_filing_jointly,0,25350,0.1
2050,married_filing_jointly,24800,103000,0.12
2050,married_filing_jointly,100800,216200,0.22
2050,married_filing_jointly,211400,412700,0.24
2050,married_filing_jointly,403550,524000,0.32
2050,married_filing_jointly,512450,786100,0.35
2050,married_filing_jointly,768700,4000000,0.37
2050,single,0,0,0.0
2050,single,0,12400,0.1
2050,single,12400,50400,0.12
2050,single,50400,105700,0.22
2050,single,105700,201775,0.24
2050,single,201775,256225,0.32
2050,single,256225,640350,0.35
2050,single,640350,4000000,0.37
